id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze
223640307,Yana Egorian,RUS,female,12/20/1993,1.75,64,fencing,2,0,0
661638106,Emma McKeon,AUS,female,5/24/1994,1.8,60,aquatics,1,2,1
71010173,Alexandra Raisman,USA,female,5/25/1994,1.58,52,gymnastics,1,2,0
239797947,Penny Oleksiak,CAN,female,6/13/2000,1.86,68,aquatics,1,1,2
901422043,Aliya Mustafina,RUS,female,9/30/1994,1.61,48,gymnastics,1,1,1
622909202,Dana Vollmer,USA,female,11/13/1987,1.86,68,aquatics,1,1,1
794043609,Kosuke Hagino,JPN,male,8/15/1994,1.77,71,aquatics,1,1,1
350191738,Sarah Sjostrom,SWE,female,8/17/1993,1.82,76,aquatics,1,1,1
207258213,Tori Bowie,USA,female,8/27/1990,1.76,58,athletics,1,1,1
162792594,Abbey Weitzeil,USA,female,12/3/1996,1.78,68,aquatics,1,1,0
561951036,Adam Peaty,GBR,male,12/28/1994,1.93,88,aquatics,1,1,0
944908522,Allison Schmitt,USA,female,6/7/1990,1.86,74,aquatics,1,1,0
713040991,Astier Nicolas,FRA,male,1/19/1989,1.8,70,equestrian,1,1,0
974255098,Brittany Elmslie,AUS,female,6/19/1994,1.8,69,aquatics,1,1,0
598986059,Callum Skinner,GBR,male,8/20/1992,1.87,93,cycling,1,1,0
468505846,Cate Campbell,AUS,female,5/20/1992,1.86,74,aquatics,1,1,0
118964304,Charlotte Dujardin,GBR,female,7/12/1985,1.7,57,equestrian,1,1,0
630931206,Isabell Werth,GER,female,7/21/1969,1.69,66,equestrian,1,1,0
123646851,Jack Laugher,GBR,male,1/30/1995,1.68,72,aquatics,1,1,0
669978803,Jike Zhang,CHN,male,2/14/1988,1.78,70,table tennis,1,1,0
36697871,Kathleen Baker,USA,female,2/28/1997,1.73,67,aquatics,1,1,0
766991740,Lauren Hernandez,USA,female,6/9/2000,1.53,48,gymnastics,1,1,0
131214220,Liam Heath,GBR,male,8/17/1984,1.82,81,canoe,1,1,0
376474889,Madison Kocian,USA,female,6/15/1997,1.58,46,gymnastics,1,1,0
540102843,Madison Wilson,AUS,female,5/31/1994,1.79,61,aquatics,1,1,0
878101089,Michael Jung,GER,male,7/31/1982,1.68,70,equestrian,1,1,0
57591720,Oleg Verniaiev,UKR,male,9/29/1993,1.6,56,gymnastics,1,1,0
832285116,Sofya Velikaya,RUS,female,6/8/1985,1.75,70,fencing,1,1,0
239639221,Vivian Jepkemoi Cheruiyot,KEN,female,9/11/1983,1.54,40,athletics,1,1,0
363955533,Xiaoxia Li,CHN,female,1/15/1988,1.74,65,table tennis,1,1,0
56252755,Xuan Vinh Hoang,VIE,male,10/6/1974,1.75,75,shooting,1,1,0
344496691,Yang Sun,CHN,male,12/1/1991,2,92,aquatics,1,1,0
885688636,Kyle Chalmers,AUS,male,6/25/1998,1.93,90,aquatics,1,0,2
9410967,Almaz Ayana,ETH,female,11/21/1991,1.66,47,athletics,1,0,1
711366566,Anna Korakaki,GRE,female,4/8/1996,1.75,65,shooting,1,0,1
232686773,Anna van der Breggen,NED,female,4/18/1990,1.67,56,cycling,1,0,1
491078381,Bobae Ki,KOR,female,2/20/1988,1.67,57,archery,1,0,1
62565482,Catherine Meili,USA,female,4/16/1991,1.71,61,aquatics,1,0,1
710695405,Cody Miller,USA,male,1/9/1992,1.81,79,aquatics,1,0,1
453971347,Conor Dwyer,USA,male,1/10/1989,1.96,88,aquatics,1,0,1
971131011,David Plummer,USA,male,10/9/1985,1.91,95,aquatics,1,0,1
918357805,Gauthier Grumier,FRA,male,5/29/1984,1.91,83,fencing,1,0,1
466400637,Jack Sock,USA,male,9/24/1992,1.91,83,tennis,1,0,1
694582399,Kenzo Shirai,JPN,male,8/24/1996,1.62,51,gymnastics,1,0,1
981663977,Kristina Broring-Sprehe,GER,female,10/28/1986,1.68,54,equestrian,1,0,1
108583641,Kristina Vogel,GER,female,11/10/1990,1.6,66,cycling,1,0,1
920627938,Lashawn Merritt,USA,male,6/27/1986,1.91,86,athletics,1,0,1
735079950,Leah Smith,USA,female,4/19/1995,1.76,67,aquatics,1,0,1
135005136,Lisa Carrington,NZL,female,6/23/1989,1.68,63,canoe,1,0,1
837308127,Mireia Belmonte Garcia,ESP,female,11/10/1990,1.7,59,aquatics,1,0,1
131634277,Nan Zhang,CHN,male,3/1/1990,1.83,75,badminton,1,0,1
489476635,Pernille Blume,DEN,female,5/14/1994,1.7,58,aquatics,1,0,1
530860018,Saul Craviotto,ESP,male,11/3/1984,1.92,98,canoe,1,0,1
503276231,Timur Safin,RUS,male,8/4/1992,1.82,82,fencing,1,0,1
886518793,Yuan Cao,CHN,male,2/7/1995,1.67,62,aquatics,1,0,1
746318262,Abdulrashid Sadulaev,RUS,male,5/9/1996,1.77,86,wrestling,1,0,0
638298176,Agustin Mazzilli,ARG,male,6/20/1989,1.73,77,hockey,1,0,0
213448220,Ahmad Abughaush,JOR,male,2/1/1996,1.78,68,taekwondo,1,0,0
598990857,Aleksandra Patskevich,RUS,female,11/4/1988,1.69,49,aquatics,1,0,0
544745828,Alex Gregory,GBR,male,3/11/1984,1.98,97,rowing,1,0,0
911821683,Alexander Lesun,RUS,male,7/1/1988,1.85,74,modern pentathlon,1,0,0
566681185,Alexandra Danson,GBR,female,5/21/1985,1.67,56,hockey,1,0,0
125810149,Alexandra Popp,GER,female,4/6/1991,1.74,65,football,1,0,0
251192385,Alexey Cheremisinov,RUS,male,7/9/1985,1.83,75,fencing,1,0,0
404345231,Alicia Quirk,AUS,female,3/28/1992,1.73,64,rugby sevens,1,0,0
409870387,Alison Cerutti,BRA,male,12/7/1985,2.03,102,volleyball,1,0,0
198533399,Alistair Brownlee,GBR,male,4/23/1988,1.84,70,triathlon,1,0,0
848336898,Alla Shishkina,RUS,female,8/2/1989,1.7,56,aquatics,1,0,0
712627786,Almuth Schult,GER,female,2/9/1991,1.8,71,football,1,0,0
960382539,Amanda Elmore,USA,female,3/13/1991,1.81,79,rowing,1,0,0
839220577,Amanda Polk,USA,female,8/2/1986,1.81,83,rowing,1,0,0
99920757,Amy Turner,AUS,female,3/25/1984,1.68,64,rugby sevens,1,0,0
865510243,Ana Maria Popescu,ROU,female,11/26/1984,1.75,64,fencing,1,0,0
395443232,Anastasia Bliznyuk,RUS,female,6/28/1994,1.73,51,gymnastics,1,0,0
273869635,Anastasiia Maksimova,RUS,female,6/27/1991,1.7,50,gymnastics,1,0,0
725232541,Anastasiia Tatareva,RUS,female,7/19/1997,1.65,44,gymnastics,1,0,0
530085605,Andrew T Hodge,GBR,male,3/3/1979,1.92,97,rowing,1,0,0
789218383,Andrija Prlainovic,SRB,male,4/28/1987,1.87,93,aquatics,1,0,0
526943972,Andy Murray,GBR,male,5/15/1987,1.88,85,tennis,1,0,0
663091466,Angel McCoughtry,USA,female,9/10/1986,1.85,70,basketball,1,0,0
175586177,Anita Wlodarczyk,POL,female,8/8/1985,1.78,95,athletics,1,0,0
699323942,Anja Mittag,GER,female,5/16/1985,1.68,58,football,1,0,0
799918043,Anna Sedoykina,RUS,female,8/1/1984,1.84,74,handball,1,0,0
480514013,Anna Sen,RUS,female,12/3/1990,1.86,81,handball,1,0,0
363091224,Anna Vyakhireva,RUS,female,3/13/1995,1.68,63,handball,1,0,0
455588224,Annekatrin Thiele,GER,female,10/18/1984,1.73,68,rowing,1,0,0
156381580,Annike Krahn,GER,female,7/1/1985,1.73,61,football,1,0,0
903085335,Apisai Domolailai,FIJ,male,4/16/1989,1.92,98,rugby sevens,1,0,0
952365137,Aria Fischer,USA,female,3/2/1999,1.83,78,aquatics,1,0,0
720999336,Arlen Lopez,CUB,male,2/21/1993,1.78,,boxing,1,0,0
708613279,Arman Hall,USA,male,2/12/1994,1.83,74,athletics,1,0,0
754963695,Aron Szilagyi,HUN,male,1/14/1990,1.8,78,fencing,1,0,0
270627032,Artur Akhmatkhuzin,RUS,male,5/21/1988,1.87,79,fencing,1,0,0
206524686,Artur Aleksanyan,ARM,male,10/21/1991,1.9,98,wrestling,1,0,0
508304618,Asafa Powell,JAM,male,11/23/1982,1.91,93,athletics,1,0,0
143278150,Ashleigh Johnson,USA,female,9/12/1994,1.86,81,aquatics,1,0,0
629254109,Ashton Eaton,USA,male,1/21/1988,1.86,81,athletics,1,0,0
40493277,Ayaka Takahashi,JPN,female,4/19/1990,1.65,60,badminton,1,0,0
652126944,Babett Peter,GER,female,5/12/1988,1.71,64,football,1,0,0
756739224,Barbara Engleder,GER,female,9/16/1982,1.62,72,shooting,1,0,0
613088812,Beslan Mudranov,RUS,male,7/7/1986,1.66,60,judo,1,0,0
552255079,Bethanie Mattek-Sands,USA,female,3/23/1985,1.68,65,tennis,1,0,0
842741490,Blair Tuke,NZL,male,7/25/1989,1.81,78,sailing,1,0,0
570608473,Blake Pieroni,USA,male,11/15/1995,1.88,86,aquatics,1,0,0
499035410,Bradley Wiggins,GBR,male,4/28/1980,1.9,82,cycling,1,0,0
349293339,Branislav Mitrovic,SRB,male,1/30/1985,2.01,100,aquatics,1,0,0
193606583,Breanna Stewart,USA,female,8/27/1994,1.93,79,basketball,1,0,0
861484261,Brianna Rollins,USA,female,8/18/1991,1.66,58,athletics,1,0,0
387060457,Brittney Griner,USA,female,10/18/1990,2.03,94,basketball,1,0,0
936338083,Bronte Campbell,AUS,female,5/14/1994,1.79,58,aquatics,1,0,0
696736168,Bruno Mossa Rezende,BRA,male,7/2/1986,1.9,76,volleyball,1,0,0
68618209,Bruno Oscar Schmidt,BRA,male,10/6/1986,1.85,85,volleyball,1,0,0
448095596,Carina Baer,GER,female,1/23/1990,1.85,75,rowing,1,0,0
11238404,Carmelo Anthony,USA,male,5/29/1984,2.03,109,basketball,1,0,0
905750537,Carolina Marin,ESP,female,6/15/1993,1.72,65,badminton,1,0,0
450608241,Casper Mortensen,DEN,male,12/14/1989,1.9,88,handball,1,0,0
190873405,Caster Semenya,RSA,female,1/7/1991,1.78,70,athletics,1,0,0
576401005,Caterine Ibarguen,COL,female,2/12/1984,1.85,70,athletics,1,0,0
567465355,Catherine Skinner,AUS,female,2/11/1990,1.72,80,shooting,1,0,0
721352055,Cecilia Carranza Saroli,ARG,female,12/29/1986,1.64,63,sailing,1,0,0
200603322,Changning Zhang,CHN,female,11/6/1995,1.93,79,volleyball,1,0,0
889819769,Charline Picon,FRA,female,12/23/1984,1.69,57,sailing,1,0,0
865933496,Charlotte Caslick,AUS,female,3/9/1995,1.72,65,rugby sevens,1,0,0
284105289,Cheick Sallah Junior Cisse,CIV,male,9/19/1993,1.9,,taekwondo,1,0,0
247836901,Chloe Dalton,AUS,female,7/11/1993,1.8,72,rugby sevens,1,0,0
66098527,Chloe Esposito,AUS,female,9/19/1991,1.68,55,modern pentathlon,1,0,0
628001010,Chris Mears,GBR,male,2/7/1993,1.73,73,aquatics,1,0,0
513022644,Christian Reitz,GER,male,4/29/1987,1.84,90,shooting,1,0,0
446986047,Christian Taylor,USA,male,6/18/1990,1.88,81,athletics,1,0,0
501861079,Christoph Harting,GER,male,4/10/1990,2.07,123,athletics,1,0,0
786574595,Cierra Runge,USA,female,3/7/1996,1.94,84,aquatics,1,0,0
175558091,Claressa Maria Shields,USA,female,3/17/1995,1.76,,boxing,1,0,0
736895804,Clark Smith,USA,male,4/17/1995,2.06,89,aquatics,1,0,0
868434625,Connor Fields,USA,male,9/14/1992,1.83,88,cycling,1,0,0
766006270,Conseslus Kipruto,KEN,male,12/8/1994,1.67,58,athletics,1,0,0
779629172,Constantine Louloudis,GBR,male,9/15/1991,1.9,92,rowing,1,0,0
760942208,Courtney Mathewson,USA,female,9/14/1986,1.71,69,aquatics,1,0,0
771725452,Courtney Okolo,USA,female,3/15/1994,1.73,58,athletics,1,0,0
710589299,Crista Cullen,GBR,female,8/20/1985,1.82,74,hockey,1,0,0
708503886,Cristian Toro,ESP,male,4/29/1992,1.88,90,canoe,1,0,0
209724463,Dalilah Muhammad,USA,female,2/7/1990,1.73,55,athletics,1,0,0
642681406,Daniel Jerent,FRA,male,6/4/1991,1.89,84,fencing,1,0,0
783504559,Daniele Garozzo,ITA,male,8/4/1992,1.77,65,fencing,1,0,0
76405574,Daniyar Yeleussinov,KAZ,male,3/13/1991,1.78,,boxing,1,0,0
358425644,Daria Dmitrieva,RUS,female,8/9/1995,1.78,74,handball,1,0,0
807043500,David Lekuta Rudisha,KEN,male,12/17/1988,1.9,76,athletics,1,0,0
507639455,David Verburg,USA,male,5/14/1991,1.73,70,athletics,1,0,0
397002318,Davit Chakvetadze,RUS,male,10/18/1992,1.74,85,wrestling,1,0,0
688799432,Davor Stefanek,SRB,male,9/12/1985,1.7,66,wrestling,1,0,0
777458812,DeAndre Jordan,USA,male,7/21/1988,2.11,120,basketball,1,0,0
170161629,DeMarcus Cousins,USA,male,8/13/1990,2.1,122,basketball,1,0,0
174042478,Demar DeRozan,USA,male,8/7/1989,2.01,99,basketball,1,0,0
384593486,Denis Gargaud Chanut,FRA,male,7/22/1987,1.81,76,canoe,1,0,0
849646461,Derek Drouin,CAN,male,3/6/1990,1.96,83,athletics,1,0,0
681626502,Diana Bacosi,ITA,female,7/13/1983,1.75,85,shooting,1,0,0
352310155,Diana Taurasi,USA,female,6/11/1982,1.82,70,basketball,1,0,0
847147736,Dilshod Nazarov,TJK,male,5/6/1982,1.87,120,athletics,1,0,0
217286137,Dmitriy Balandin,KAZ,male,4/4/1995,1.95,90,aquatics,1,0,0
863768656,Dorian van Rijsselberghe,NED,male,11/24/1988,1.89,75,sailing,1,0,0
307716893,Dorothee Schneider,GER,female,2/17/1969,1.69,63,equestrian,1,0,0
723331849,Douglas Correia de Souza,BRA,male,8/20/1995,1.99,75,volleyball,1,0,0
456548285,Douglas Santos,BRA,male,3/22/1994,1.73,69,football,1,0,0
66675675,Draymond Green,USA,male,3/4/1990,2,104,basketball,1,0,0
265536386,Dusan Mandic,SRB,male,6/16/1994,2.02,105,aquatics,1,0,0
386288896,Dusko Pijetlovic,SRB,male,4/25/1985,1.97,97,aquatics,1,0,0
259130059,Dzsenifer Marozsan,GER,female,4/18/1992,1.71,55,football,1,0,0
87070724,Eder Carbonera,BRA,male,10/19/1983,2.05,107,volleyball,1,0,0
128111311,Edward Clancy,GBR,male,3/12/1985,1.85,79,cycling,1,0,0
358786472,Ekaterina Dyachenko,RUS,female,8/31/1987,1.67,53,fencing,1,0,0
409581513,Ekaterina Ilina,RUS,female,3/7/1991,1.74,60,handball,1,0,0
257253481,Ekaterina Makarova,RUS,female,6/7/1988,1.8,67,tennis,1,0,0
472046862,Ekaterina Marennikova,RUS,female,4/29/1982,1.76,70,handball,1,0,0
226774163,Ekaterini Stefanidi,GRE,female,2/4/1990,1.73,59,athletics,1,0,0
518148894,Eleanor Logan,USA,female,12/27/1987,1.88,86,rowing,1,0,0
686764746,Eleftherios Petrounias,GRE,male,11/30/1990,1.64,62,gymnastics,1,0,0
648308415,Elena Delle Donne,USA,female,9/5/1989,1.95,86,basketball,1,0,0
38343268,Elena Prokofyeva,RUS,female,8/2/1994,1.69,54,aquatics,1,0,0
160971394,Elena Vesnina,RUS,female,8/1/1986,1.76,66,tennis,1,0,0
307747512,Elia Viviani,ITA,male,2/7/1989,1.77,70,cycling,1,0,0
460751397,Elinor Barker,GBR,female,9/7/1994,1.68,56,cycling,1,0,0
613098347,Elis Ligtlee,NED,female,6/28/1994,1.85,90,cycling,1,0,0
348703893,Eliud Kipchoge,KEN,male,11/5/1984,1.67,57,athletics,1,0,0
579116180,Ellia Green,AUS,female,2/20/1993,1.72,75,rugby sevens,1,0,0
414726536,Emese Szasz,HUN,female,9/7/1982,1.76,71,fencing,1,0,0
782571227,Emilee Cherry,AUS,female,11/2/1992,1.68,70,rugby sevens,1,0,0
561775789,Emilie Andeol,FRA,female,10/30/1987,1.7,97,judo,1,0,0
345975199,Emily Regan,USA,female,6/10/1988,1.88,80,rowing,1,0,0
327389917,Emma Tonegato,AUS,female,3/20/1995,1.65,63,rugby sevens,1,0,0
166163342,English Gardner,USA,female,4/22/1992,1.68,54,athletics,1,0,0
41617234,Eri Tosaka,JPN,female,8/30/1993,1.52,53,wrestling,1,0,0
281183141,Eric Murray,NZL,male,5/6/1982,1.95,98,rowing,1,0,0
289444580,Erica Elizabeth Wiebe,CAN,female,6/13/1989,1.75,75,wrestling,1,0,0
317848923,Estelle Mossely,FRA,female,8/19/1992,1.68,,boxing,1,0,0
861327414,Evandro M. Guerra,BRA,male,12/27/1981,2.07,103,volleyball,1,0,0
507584476,Evania Pelite,AUS,female,7/12/1995,1.69,67,rugby sevens,1,0,0
93776802,Evgeny Tishchenko,RUS,male,7/15/1991,1.96,,boxing,1,0,0
940097096,Fabian Cancellara,SUI,male,3/18/1981,1.86,81,cycling,1,0,0
630689816,Fabian Hambuechen,GER,male,10/25/1987,1.64,68,gymnastics,1,0,0
425939081,Fabio Basile,ITA,male,10/7/1994,1.6,66,judo,1,0,0
549448963,Facundo Callioni,ARG,male,10/9/1985,1.83,77,hockey,1,0,0
932376029,Faith Chepngetich Kipyegon,KEN,female,1/10/1994,1.57,43,athletics,1,0,0
129560075,Fangxu Yang,CHN,female,10/6/1994,1.9,71,volleyball,1,0,0
454377713,Fazliddin Gaibnazarov,UZB,male,6/16/1991,1.69,,boxing,1,0,0
238428792,Fehaid Aldeehani,IOA,male,10/11/1966,1.76,95,shooting,1,0,0
390089818,Felipe Anderson,BRA,male,4/15/1993,1.75,69,football,1,0,0
559608161,Ferry Weertman,NED,male,6/27/1992,1.89,86,aquatics,1,0,0
198261943,Filip Filipovic,SRB,male,5/1/1987,1.96,101,aquatics,1,0,0
407138612,Francena McCorory,USA,female,10/20/1988,1.71,68,athletics,1,0,0
14191210,Gabriel Barbosa,BRA,male,8/30/1996,1.76,68,football,1,0,0
250938129,Gabriel Jesus,BRA,male,4/3/1997,1.75,68,football,1,0,0
208944185,Gabriele Rossetti,ITA,male,3/7/1995,1.76,65,shooting,1,0,0
995739090,Gabrielle Douglas,USA,female,12/31/1995,1.5,49,gymnastics,1,0,0
286940521,Gelena Topilina,RUS,female,1/11/1994,1.75,56,aquatics,1,0,0
141739381,Gemma Etheridge,AUS,female,12/1/1986,1.69,66,rugby sevens,1,0,0
962074065,George Nash,GBR,male,10/2/1989,1.95,96,rowing,1,0,0
559477577,Georgina Twigg,GBR,female,11/21/1990,1.6,62,hockey,1,0,0
802471466,Gil Roberts,USA,male,3/15/1989,1.88,81,athletics,1,0,0
48092287,Giles Scott,GBR,male,6/23/1987,1.97,95,sailing,1,0,0
258007826,Giselle Ansley,GBR,female,3/31/1992,1.76,73,hockey,1,0,0
599927900,Gojko Pijetlovic,SRB,male,8/7/1983,1.94,92,aquatics,1,0,0
67406936,Gonzalo Peillat,ARG,male,8/12/1992,1.77,82,hockey,1,0,0
503615176,Greg van Avermaet,BEL,male,5/17/1985,1.81,74,cycling,1,0,0
127715970,Gregorio Paltrinieri,ITA,male,9/5/1994,1.91,72,aquatics,1,0,0
732208032,Gunnar Bentz,USA,male,1/3/1996,1.96,83,aquatics,1,0,0
292122842,Gwen Jorgensen,USA,female,4/25/1986,1.78,58,triathlon,1,0,0
754025410,Haifeng Fu,CHN,male,1/2/1984,1.81,78,badminton,1,0,0
296637442,Hamish Bond,NZL,male,2/13/1986,1.89,89,rowing,1,0,0
512806453,Hannah Macleod,GBR,female,6/9/1984,1.72,67,hockey,1,0,0
931174391,Hannah Mills,GBR,female,2/29/1988,1.57,50,sailing,1,0,0
887983421,Hans Gruhne,GER,male,8/5/1988,1.93,92,rowing,1,0,0
98629225,Harrison Barnes,USA,male,5/30/1992,2.03,102,basketball,1,0,0
437669454,Haruka Tachimoto,JPN,female,8/3/1990,1.68,70,judo,1,0,0
542430668,Hasanboy Dusmatov,UZB,male,6/24/1993,1.56,,boxing,1,0,0
36162949,Hassan Aliazam Yazdanicharati,IRI,male,12/26/1994,1.81,74,wrestling,1,0,0
605175756,Heather Stanning,GBR,female,1/26/1985,1.81,72,rowing,1,0,0
820626440,Helen Glover,GBR,female,6/17/1986,1.77,67,rowing,1,0,0
992478807,Helen Louise Maroulis,USA,female,9/19/1991,1.63,56,wrestling,1,0,0
826011682,Helen Richardson-Walsh,GBR,female,9/23/1981,1.65,55,hockey,1,0,0
777353303,Henri Junghaenel,GER,male,2/5/1988,1.79,80,shooting,1,0,0
808654438,Henrik Mollgaard Jensen,DEN,male,1/2/1985,1.97,102,handball,1,0,0
89814850,Henrik Toft Hansen,DEN,male,12/18/1986,2,105,handball,1,0,0
261349975,Hollie Webb,GBR,female,9/19/1990,1.65,65,hockey,1,0,0
958706021,Hong Liu,CHN,female,5/12/1987,1.6,50,athletics,1,0,0
203027250,Huixia Liu,CHN,female,11/30/1997,1.57,48,aquatics,1,0,0
733898810,Hyeri Oh,KOR,female,4/30/1988,1.82,69,taekwondo,1,0,0
632290179,Ignacio Ortiz,ARG,male,7/26/1987,1.8,76,hockey,1,0,0
647906398,Igor Marenic,CRO,male,1/2/1986,1.73,70,sailing,1,0,0
446700589,Ilse Paulis,NED,female,7/30/1993,1.74,57,rowing,1,0,0
349411929,Inbee Park,KOR,female,7/12/1988,1.68,60,golf,1,0,0
983898565,Inna Deriglazova,RUS,female,3/10/1990,1.73,61,fencing,1,0,0
417651899,Irina Bliznova,RUS,female,10/6/1986,1.82,68,handball,1,0,0
338940609,Isabel Kerschowski,GER,female,1/22/1988,1.67,57,football,1,0,0
874295706,Isidoro Ibarra,ARG,male,10/2/1992,1.75,75,hockey,1,0,0
426130402,Ismael Borrero Molina,CUB,male,1/6/1992,1.6,59,wrestling,1,0,0
967646151,Iurii Cheban,UKR,male,7/5/1986,1.85,93,canoe,1,0,0
762346507,Jack Conger,USA,male,9/26/1994,1.94,79,aquatics,1,0,0
789368570,Jade Jones,GBR,female,3/21/1993,1.67,57,taekwondo,1,0,0
927707277,James Feigen,USA,male,9/26/1989,1.96,97,aquatics,1,0,0
810723660,Jan Vandrey,GER,male,12/11/1991,1.88,88,canoe,1,0,0
513737062,Jannick Green Krejberg,DEN,male,9/29/1988,1.95,95,handball,1,0,0
164713165,Jasa Veremalua,FIJ,male,5/29/1988,1.95,98,rugby sevens,1,0,0
858350003,Jean-Michel Lucenay,FRA,male,4/25/1978,1.86,78,fencing,1,0,0
555512079,Jeff Henderson,USA,male,2/19/1989,1.83,85,athletics,1,0,0
990787231,Jemima Jelagat Sumgong,KEN,female,12/21/1984,1.6,45,athletics,1,0,0
87849675,Jenny Rissveds,SWE,female,6/6/1994,1.65,55,cycling,1,0,0
787131282,Jeremie Azou,FRA,male,4/2/1989,1.78,71,rowing,1,0,0
790674817,Jerry Tuwai,FIJ,male,3/23/1989,1.74,81,rugby sevens,1,0,0
562280742,Jesper Noddesbo,DEN,male,10/23/1980,1.99,100,handball,1,0,0
407205407,Jevaughn Minzie,JAM,male,7/20/1995,1.78,85,athletics,1,0,0
980188208,Jimmy Butler,USA,male,9/14/1989,2.01,99,basketball,1,0,0
262158592,Jinjie Gong,CHN,female,11/12/1986,1.65,65,cycling,1,0,0
929833418,Joanna Rowsell-Shand,GBR,female,12/5/1988,1.8,69,cycling,1,0,0
202078151,Joaquin Menini,ARG,male,8/18/1991,1.82,76,hockey,1,0,0
724095045,Jong Sim Rim,PRK,female,2/5/1993,1.62,74,weightlifting,1,0,0
326377611,Jongoh Jin,KOR,male,9/24/1979,1.75,78,shooting,1,0,0
943343126,Joseph Clarke,GBR,male,11/3/1992,1.82,76,canoe,1,0,0
193706829,Joseph Schooling,SIN,male,6/16/1995,1.84,78,aquatics,1,0,0
604939981,Josephine Henning,GER,female,9/8/1989,1.75,68,football,1,0,0
274974371,Josip Glasnovic,CRO,male,5/7/1983,1.78,82,shooting,1,0,0
924692154,Josua Tuisova,FIJ,male,2/4/1994,1.8,108,rugby sevens,1,0,0
867791853,Juan Gilardi,ARG,male,11/14/1981,1.86,91,hockey,1,0,0
172353646,Juan Lopez,ARG,male,5/27/1985,1.78,74,hockey,1,0,0
335899694,Juan Saladino,ARG,male,9/28/1987,1.74,73,hockey,1,0,0
566554621,Juan Vivaldi,ARG,male,7/17/1979,1.8,80,hockey,1,0,0
94438177,Julia Lier,GER,female,11/11/1991,1.83,78,rowing,1,0,0
912637672,Julio Cesar la Cruz,CUB,male,8/11/1989,1.82,,boxing,1,0,0
369577883,Justin Rose,GBR,male,7/30/1980,1.93,89,golf,1,0,0
947906976,KK Clark,USA,female,6/28/1990,1.88,72,aquatics,1,0,0
607051462,Kahena Kunze,BRA,female,3/12/1991,1.72,68,sailing,1,0,0
951014219,Kaleigh Gilchrist,USA,female,5/16/1992,1.76,77,aquatics,1,0,0
608037098,Kami Craig,USA,female,7/21/1987,1.81,88,aquatics,1,0,0
447034461,Kaori Icho,JPN,female,6/13/1984,1.66,61,wrestling,1,0,0
